node	base_color	fine_block	vote_frac	n_votes	on_ref
1	.	.	0	0	0
2	.	.	0	0	1
3	.	.	0	0	1
4	.	.	0	0	1
5	.	.	0	0	0
6	.	.	0	0	1
7	.	.	0	0	1
8	.	.	0	0	1
9	.	.	0	0	0
10	.	.	0	0	1
11	.	.	0	0	1
12	.	.	0	0	0
13	.	.	0	0	1
14	.	.	0	0	1
15	.	.	0	0	0
16	.	.	0	0	1
17	.	.	0	0	1
18	.	.	0	0	0
19	.	.	0	0	1
20	.	.	0	0	1
21	.	.	0	0	0
22	.	.	0	0	1
23	.	.	0	0	1
24	.	.	0	0	0
25	.	.	0	0	1
26	.	.	0	0	1
27	.	.	0	0	0
28	.	.	0	0	1
29	.	.	0	0	0
30	.	.	0	0	0
31	.	.	0	0	1
32	.	.	0	0	1
33	.	.	0	0	0
34	.	.	0	0	0
35	.	.	0	0	1
36	.	.	0	0	1
37	.	.	0	0	1
38	.	.	0	0	0
39	.	.	0	0	1
40	.	.	0	0	1
41	.	.	0	0	0
42	.	.	0	0	1
43	.	.	0	0	1
44	.	.	0	0	0
45	.	.	0	0	1
46	.	.	0	0	1
47	.	.	0	0	0
48	.	.	0	0	1
49	.	.	0	0	0
50	.	.	0	0	1
51	.	.	0	0	1
52	.	.	0	0	1
53	.	.	0	0	0
54	.	.	0	0	1
55	.	.	0	0	1
56	.	.	0	0	0
57	.	.	0	0	1
58	.	.	0	0	1
59	.	.	0	0	0
60	.	.	0	0	1
61	.	.	0	0	1
62	.	.	0	0	0
63	.	.	0	0	1
64	.	.	0	0	1
65	.	.	0	0	0
66	.	.	0	0	1
67	.	.	0	0	1
68	.	.	0	0	0
69	.	.	0	0	1
70	.	.	0	0	1
71	.	.	0	0	0
72	.	.	0	0	0
73	.	.	0	0	1
74	.	.	0	0	1
75	.	.	0	0	1
76	.	.	0	0	1
77	.	.	0	0	0
78	.	.	0	0	0
79	.	.	0	0	1
80	.	.	0	0	0
81	.	.	0	0	1
82	.	.	0	0	1
83	.	.	0	0	1
84	.	.	0	0	0
85	.	.	0	0	1
86	.	.	0	0	1
87	.	.	0	0	0
88	.	.	0	0	1
89	.	.	0	0	1
90	.	.	0	0	0
91	.	.	0	0	1
92	.	.	0	0	1
93	.	.	0	0	0
94	.	.	0	0	1
95	.	.	0	0	1
96	.	.	0	0	0
97	.	.	0	0	1
98	.	.	0	0	1
99	.	.	0	0	0
100	.	.	0	0	1
101	.	.	0	0	1
102	.	.	0	0	0
103	.	.	0	0	1
104	.	.	0	0	0
105	.	.	0	0	1
106	.	.	0	0	1
107	.	.	0	0	1
108	.	.	0	0	0
109	.	.	0	0	1
110	.	.	0	0	0
111	.	.	0	0	1
112	.	.	0	0	1
113	.	.	0	0	1
114	.	.	0	0	0
115	.	.	0	0	1
116	.	.	0	0	0
117	.	.	0	0	1
118	.	.	0	0	1
119	.	.	0	0	1
120	.	.	0	0	0
121	.	.	0	0	1
122	.	.	0	0	1
